question,topic,week
202304Q20,"3.1.3-3.1.7 Growth, agency, financing decisions",7
202309Q1,3.1.3 IRR / NPV link,7
202309Q2,2.1.1 LLP liability,1
202309Q3,2.2.4 Double taxation relief,5
202309Q4,2.1.8 Crowdfunding,10
202309Q5,2.1.6 Leasing – finance vs operating,8
202309Q6,2.1.2–2.1.3 Share capital & liability,8
202309Q7,3.1.6 Cost of capital (beta),7
202309Q8,3.1.7 Gearing & beta,9
202309Q9,4.1.10 Consolidation (subsidiaries),0
202309Q10,4.1.12 Revaluation reserve,3
202309Q11,4.1.8 Insurance company reporting,0
202309Q12,4.1.2 Voluntary disclosures (sustainability),2
202309Q13,1.3.4 Shareholder value approach,1
202309Q14,3.1.5 Simulation,7
202309Q15,2.5.1 Mergers & acquisitions,8
202309Q16,2.3.7 Rights issues,10
202309Q17,2.4.4 Scrip dividend,10
202309Q18,1.4 Ethical responsibilities,1
202309Q19,"4.2.5 Ratio analysis (ROE, ROCE, gearing)",4
202309Q20,"1.2 Governance & agency (remuneration, audit)",1
202204Q1,2.1.8 Microfinance / microloans,10
202204Q2,2.3.5 Interest rate swaps (derivatives),0
202204Q3,2.3.7 Rights issues,10
202204Q4,2.3.6 Methods of flotation (offer for sale),10
202204Q5,2.4.3 Dividend reinvestment plans,10
202204Q6,4.1.5 Audit reports – emphasis of matter,2
202204Q7,4.1.4 Accruals concept,2
202204Q8,4.1.11 Consolidated accounts – goodwill,0
202204Q9,4.1.5 Other comprehensive income,2
202204Q10,4.1.1 Users of accounts / competitor information,2
202204Q11,3.1.4 Opportunity cost in project appraisal,7
202204Q12,3.1.1 Hurdle rate / NPV,9
202204Q13,3.1.8 Risk mitigation (insurance / stunts),7
202204Q14,1.3.5 Agency theory & governance,1
202204Q15,1.4 Sustainability & ethics (oil companies),1
202204Q16,1.1 Governance & auditor independence,1
202204Q17,2.1.8 Crowdfunding (pre-payment),10
202204Q18,1.3.2 Budgeting – staff training costs,9
202204Q19,"4.1.12, 4.2.5 Revaluation, Depreciation, ROCE, audit involvement",3
202204Q20,"2.5.1–2.5.3 Mergers, synergies, governance",8
202209Q1,1.2 Corporate governance – executive vs non-exec,1
202209Q2,2.1.1 Sole traders – overdraft,1
202209Q3,4.1.12 Tax – depreciation not deductible,3
202209Q4,2.2.4 Double taxation relief,5
202209Q5,2.3.7 Rights issues & NPV,10
202209Q6,2.3.4 Preference shares,8
202209Q7,1.3.3 NPV vs shareholder perception,1
202209Q8,3.1.6 Cost of equity vs share price,7
202209Q9,1.3.4 Shareholder value approach,1
202209Q10,3.1.2 Hurdle rate vs WACC,9
202209Q11,1.3.5 Remuneration – performance pay,1
202209Q12,2.4.1 Cost of debt – losses,9
202209Q13,2.1.5 Limited liability – bank guarantees,1
202209Q14,1.3.5 Agency problems in takeovers,1
202209Q15,4.1.7 Cash flow statements,3
202209Q16,4.2.4 Capital markets & P/E ratio,4
202209Q17,2.1.7 Credit policy & cash management,0
202209Q18,1.1 Audit opinions (adverse),1
202209Q19,4.1.5–4.1.12 Financial statements & intangibles,3
202209Q20,"3.1.6-3.1.8, 1.3.5 Risk (systematic vs unsystematic), agency, ethics",7
202104Q1,1.2 Non-executive directors,1
202104Q2,1.3.5 Agency costs,1
202104Q3,2.2.4 Double taxation,5
202104Q4,2.3.4 Subordinated debt,8
202104Q5,2.3.5 Interest rate swaps,0
202104Q6,4.1.4 Matching concept,2
202104Q7,4.2.5 Intangibles,4
202104Q8,4.2.5 ROCE,4
202104Q9,4.1.12 Revaluation reserve,3
202104Q10,4.1.10 Subsidiary accounting,0
202104Q11,1.3.4 Shareholder wealth vs stakeholders,1
202104Q12,2.5.1 Acquisition difficulties,8
202104Q13,3.1.3 NPV – regulation compliance,7
202104Q14,3.1.3 IRR & hurdle rates,7
202104Q15,1.1 Auditor’s role & IFRS compliance,1
202104Q16,4.1.2 Integrated reporting,2
202104Q17,2.1.7 Working capital – receivables,0
202104Q18,1.3.5 Budgeting & performance evaluation,1
202104Q19,"4.2.5 Ratio analysis (ROCE, GP%)",4
202104Q20,3.1.6-3.1.7 Beta & dividend policy,7
202109Q1,1.2 Corporate governance – comply or explain,1
202109Q2,1.3.5 Director remuneration,1
202109Q3,1.2 Succession planning,1
202109Q4,2.4.3 Dividend policy shift,10
202109Q5,2.3.3 Share repurchase vs quotation,10
202109Q6,2.1.8 Crowdfunding,10
202109Q7,3.1.1 Cost of debt & secured lending,9
202109Q8,2.2.1 Tax exemptions (savings),5
202109Q9,4.2.4 Diluted EPS,4
202109Q10,4.1.5 Statement of changes in equity,2
202109Q11,1.3.4 Shareholder wealth – share price,1
202109Q12,2.3.7 Rights issue – ex-rights price,10
202109Q13,2.5.1 Mergers – synergies,8
202109Q14,4.2.4 EBITDA analysis,4
202109Q15,1.4 Ethics & sustainability,1
202109Q16,1.1 Accounting scandals – IASB,1
202109Q17,4.2.5 Working capital cycle,4
202109Q18,1.3.5 Management control (performance evaluation),1
202109Q19,"4.1.12, 4.1.4 Depreciation, revaluation, audit",3
202109Q20,"3.1.6-3.1.7 Beta (systematic risk, gearing)",7
202004Q1,1.3.5 Corporate governance – audit & agency,1
202004Q2,1.3.4 Shareholder wealth maximisation,1
202004Q3,1.2 Role of non-executive directors,1
202004Q4,3.1.5 Simulation,7
202004Q5,3.1.4 Opportunity cost in project appraisal,7
202004Q6,3.1.2 Capital charge method,9
202004Q7,1.2 Use of financial statements – stewardship,1
202004Q8,3.1.7 Beta & bond issue,9
202004Q9,3.1.1 Beta = 0 interpretation,9
202004Q10,4.1.11 Consolidated accounts (NCI),0
202004Q11,1.3.4 Shareholder wealth & share prices,1
202004Q12,3.1.3 Payback vs NPV,7
202004Q13,"1.4 Risk mitigation (reputation, unhealthy food)",1
202004Q14,4.1.4 Relevance of historical cost,2
202004Q15,4.1.2 Sustainability reporting,2
202004Q16,1.1 Role of IFRS for auditors,1
202004Q17,2.1.7 Cash flow management (overdraft),0
202004Q18,2.4.3 Dividend policy,10
202004Q19,2.5.1–2.5.3 Management buyout,8
202004Q20,4.2.5 Ratio analysis – ROCE,4
202009Q1,1.4 Social responsibility vs wealth,1
202009Q2,1.3.5 Agency problems,1
202009Q3,2.2.1 Tax – capital gains,5
202009Q4,4.1.12 Tax – depreciation not deductible,3
202009Q5,4.2.5 ROCE overstated by inflation,4
202009Q6,4.1.4 Accruals & revenue recognition,2
202009Q7,4.1.4 Conservative liabilities (prudence),2
202009Q8,"4.2.5 Ratio interpretation (asset turnover, margin)",4
202009Q9,3.1.1 Beta = 0 interpretation,9
202009Q10,3.1.1 Real vs nominal rates under inflation,9
202009Q11,1.2 Governance codes & agency,1
202009Q12,4.1.11 Associates – significant influence,0
202009Q13,3.1.3 NPV vs strategic fit,7
202009Q14,2.1.6 Bank loan decision & collateral,8
202009Q15,3.1.3 IRR criterion,7
202009Q16,3.1.1 Cost of equity in unquoted firms,9
202009Q17,4.1.1 Users of financial statements,2
202009Q18,1.1-1.2 Audit opinion (qualified),1
202009Q19,4.1.5 Financial statements preparation,3
202009Q20,3.1.8 Risk of relocation & budgeting,7
201904Q1,1.1 Agency & auditors,1
201904Q2,1.3.3 Role of capital markets (share price drivers),1
201904Q3,2.1.1 Partnership liability,1
201904Q4,2.3.4 Bonds,8
201904Q5,1.3.5 Agency problem,1
201904Q6,4.1.10 Subsidiary support,0
201904Q7,4.1.11 Consolidated accounts,0
201904Q8,4.1.13 Share capital & premium,3
201904Q9,4.1.12 Depreciation,3
201904Q10,1.1.0 Auditor’s report,1
201904Q11,1.4 Social responsibility,1
201904Q12,2.3.4 Preference shares,8
201904Q13,2.3.5 Interest rate swaps,0
201904Q14,1.3.5 Budgeting (top-down vs bottom-up),1
201904Q15,4.2.5 Inventory mgmt / working capital,4
201904Q16,4.1.7 Cash flow statement,3
201904Q17,4.1.4 Intangibles (staff value),2
201904Q18,1.1.0 IASB & standard-setting,1
201904Q19,4.2.5 Ratio analysis,4
201904Q20,"2.4.1-2.4.4 Corporate strategy (diversification, buyback)",9
201909Q1,3.1.8 Non-financial factors in projects,7
201909Q2,3.1.2 WACC weighting,9
201909Q3,3.1.5 Simulation vs scenario,7
201909Q4,3.1.7 Hurdle rate,9
201909Q5,3.1.3 IRR,7
201909Q6,1.1 Role of external auditor,1
201909Q7,4.1.12 Revaluation reserve,3
201909Q8,2.1.7 Working capital (trade receivables),0
201909Q9,2.1.7 Prompt payment discounts,0
201909Q10,1.3.5 Budgets vs forecasts,1
201909Q11,1.2 Director remuneration (agency),1
201909Q12,3.1.4 Strategic fit vs NPV,7
201909Q13,"3.1.8 Risk (political, overseas branch)",7
201909Q14,4.1.4 Fair value,2
201909Q15,4.1.2 Integrated reporting,2
201909Q16,4.1.4 Relevance vs reliability,2
201909Q17,4.1.11 Non-controlling interest,0
201909Q18,1.3.5 Zero-based budgeting,1
201909Q19,"2.1.6, 2.4.1 Loan ratios, intangibles, agency",8
201909Q20,"3.1.1, 3.1.6-3.1.7 Geared vs ungeared beta",9
